Iteration$task_len$dev_alter$UP_score$BF_sorce$SA_score$HC_score$GA_score$BF_time$SA_time$HC_time$GA_time$UP_cand$BF_cand$SA_cand$HC_cand$GA_cand
0$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.3877609490882605$0.0006393929943442345$1.002055665012449$['d2', 'd18']$['d2', 'd18']$['d2', 'd15']$['d2', 'd3']$['d2', 'd17']
1$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.6241846131160855$0.0006363310385495424$0.9907603040337563$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd17']$['d2', 'd18']
2$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.204535122029483$0.0006879561115056276$0.9991943310014904$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd9']$['d2', 'd9']
3$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$8.07339454581961$0.0006449560169130564$0.9824116290546954$['d2', 'd18']$['d2', 'd18']$['d2', 'd18']$['d2', 'd15']$['d2', 'd6']
4$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.472814058884978$0.00069801090285182$0.9982063088100404$['d2', 'd18']$['d2', 'd18']$['d2', 'd6']$['d2', 'd10']$['d2', 'd10']
5$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.369149376172572$0.00035272911190986633$0.9914434079546481$['d2', 'd18']$['d2', 'd18']$['d2', 'd10']$['d2', 'd9']$['d2', 'd15']
6$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.391447914065793$0.0006367419846355915$0.9983239490538836$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd9']$['d2', 'd10']
7$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.526549526955932$0.0006378451362252235$0.9948271750472486$['d2', 'd18']$['d2', 'd18']$['d2', 'd10']$['d2', 'd3']$['d2', 'd3']
8$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.590436905855313$0.0006593149155378342$0.977938971016556$['d2', 'd18']$['d2', 'd18']$['d2', 'd18']$['d2', 'd9']$['d2', 'd10']
9$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.563200025819242$0.000634507043287158$0.9915391900576651$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd6']$['d2', 'd3']
10$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.282675568014383$0.000631541945040226$0.9789789959322661$['d2', 'd18']$['d2', 'd18']$['d2', 'd17']$['d2', 'd15']$['d2', 'd10']
11$2$7$0.49280538030458115$0.49280538030458115$0.4928053803045811$0.49280538030458115$0.49280538030458115$0.0010812380351126194$7.327270693844184$0.0006383280269801617$1.0003402100410312$['d2', 'd18']$['d2', 'd18']$['d2', 'd10']$['d2', 'd10']$['d2', 'd6']
